"","model","term","estimate","std.error","t.statistic","p.value","residual.SE","r.squared","adj.r.squared"
"1","M1: ols_spi","(Intercept)",702.377448193272,159.50138394317,4.40358215602396,1.17090849501217e-05,4.80828259023463,0.773552269600321,0.772500980229849
"2","M1: ols_spi","spi_comp",0.286414727883272,0.0156271299805207,18.328044128403,1.60953027434129e-65,4.80828259023463,0.773552269600321,0.772500980229849
"3","M1: ols_spi","log_gdppc",3.30006267114263,0.18661662459234,17.6836478440844,1.23450998480053e-61,4.80828259023463,0.773552269600321,0.772500980229849
"4","M1: ols_spi","population",-1.21517197915636e-09,8.49791235592145e-10,-1.4299653000182,0.153017001841362,4.80828259023463,0.773552269600321,0.772500980229849
"5","M1: ols_spi","di_score",0.217248719972851,0.115474820163096,1.88135144671375,0.0601936788857856,4.80828259023463,0.773552269600321,0.772500980229849
"6","M1: ols_spi","year_fct",-0.338901157597796,0.0790409105284542,-4.28766768160893,1.96749444478929e-05,4.80828259023463,0.773552269600321,0.772500980229849
"7","M2: ols_sci","(Intercept)",-536.539546647984,62.001736349897,-8.65362130537939,1.25701819458912e-17,4.72465211510926,0.739115872104439,0.738250871680382
"8","M2: ols_sci","sci_overall",0.239764919151395,0.0102731229009466,23.3390490372993,4.16260419158991e-103,4.72465211510926,0.739115872104439,0.738250871680382
"9","M2: ols_sci","log_gdppc",5.40920275413303,0.145214977620046,37.2496201341308,6.97060409044905e-216,4.72465211510926,0.739115872104439,0.738250871680382
"10","M2: ols_sci","population",-2.18898461570146e-09,4.1472554860268e-10,-5.27815231802508,1.4952258419807e-07,4.72465211510926,0.739115872104439,0.738250871680382
"11","M2: ols_sci","di_score",-0.0664566763737793,0.086119518469882,-0.771679609390997,0.440425114825352,4.72465211510926,0.739115872104439,0.738250871680382
"12","M2: ols_sci","year_fct",0.267775129611321,0.0308160910343507,8.68945802739327,9.31377594640972e-18,4.72465211510926,0.739115872104439,0.738250871680382
"13","M3: ols_multiple","(Intercept)",-546.475806180429,301.982023122584,-1.80963025722428,0.0708891504808878,4.32752358745329,0.763900643884849,0.761371007926472
"14","M3: ols_multiple","spi_comp",0.119451008334764,0.0292379445002207,4.08547900259755,5.04111352198774e-05,4.32752358745329,0.763900643884849,0.761371007926472
"15","M3: ols_multiple","sci_overall",0.148764547922815,0.0261591081432278,5.68691207315981,2.08511680935039e-08,4.32752358745329,0.763900643884849,0.761371007926472
"16","M3: ols_multiple","log_gdppc",5.80882376165561,0.210219002424727,27.6322487246869,1.12901557168194e-106,4.32752358745329,0.763900643884849,0.761371007926472
"17","M3: ols_multiple","population",-3.13978410250226e-09,5.00264020768221e-10,-6.27625408215588,6.95267938533582e-10,4.32752358745329,0.763900643884849,0.761371007926472
"18","M3: ols_multiple","di_score",-0.415759252727669,0.127360285889166,-3.26443404099672,0.00116377001372338,4.32752358745329,0.763900643884849,0.761371007926472
"19","M3: ols_multiple","year_fct",0.271793801339834,0.149657972932226,1.8160997106577,0.0698896549744233,4.32752358745329,0.763900643884849,0.761371007926472
